Funding block,address,Funding Amount[CELO],Funding Entity,Number of LZ tx,Projects,Total LZ Volume $,Average LZ Volume $,Number of OAPPS,Number of Sendchian,Number of Chian,Onmichain Balance$,eth linea base scroll zks Balance$,affinity
20419000,0x114d943e3d194ec4ce319491bca03f7224c53688,1.0581,Tether : Binance,14,"[nan 'Stargate' 'Testnet Bridge' 'Aptos Bridge' 'Aptos Bridge' nan
 'Aptos Bridge' nan 'Stargate' 'Stargate' nan nan nan nan]",164.1,11.72,4,4,9,596.9,"[432.4, 24.63, 21.98, 0, 92.78]",2
20418995,0xf6f509e361a4d6c95fcb24f86590313c3bdc2c99,1.0574,Tether : Binance,14,"[nan 'Testnet Bridge' 'Aptos Bridge' nan 'Stargate' nan 'Aptos Bridge' nan
 nan nan 'Stargate' 'Aptos Bridge' 'Stargate' nan]",167.68,11.98,4,4,10,573.65,"[431.19, 23.28, 22.0, 0, 70.02]",2
20418993,0x479fd085f0e2843c7d454475c9aa01789c9983c3,1.0572,Tether : Binance,14,"['Stargate' nan 'Aptos Bridge' 'Aptos Bridge' 'Aptos Bridge' nan nan
 'Stargate' 'Stargate' nan nan 'Testnet Bridge' nan nan]",157.41,11.24,4,4,9,595.72,"[434.29, 24.71, 21.92, 0, 85.5]",2
20418990,0xd1b0399f6ff18633b47f40fefcce8e75a37129a8,1.057,Tether : Binance,14,"['Aptos Bridge' nan nan 'Stargate' 'Aptos Bridge' nan 'Testnet Bridge' nan
 'Aptos Bridge' 'Stargate' nan nan 'Stargate' nan]",191.87,13.7,4,4,10,597.45,"[435.25, 25.14, 21.96, 0, 87.61]",2
20418989,0x972dd2d54cff4b6807dd8049fbd11986fbde4a04,1.0568,Tether : Binance,14,"['Stargate' nan nan nan 'Stargate' nan nan 'Stargate' nan 'Aptos Bridge'
 nan 'Testnet Bridge' 'Aptos Bridge' 'Aptos Bridge']",202.87,14.49,4,4,10,592.1,"[434.34, 22.57, 21.96, 0, 86.72]",2
20418989,0xd186061212e62c38b30067672f2fe17a132d9fdf,1.0567,Tether : Binance,14,"['Aptos Bridge' nan nan 'Stargate' nan nan nan 'Stargate' nan
 'Aptos Bridge' nan 'Testnet Bridge' 'Stargate' 'Aptos Bridge']",174.98,12.5,4,4,9,585.99,"[435.39, 25.31, 21.97, 0, 79.05]",2
20418986,0x3f54d7a37c66a87c69d431e14641e457b018a5a4,1.0566,Tether : Binance,14,"[nan 'Aptos Bridge' 'Aptos Bridge' nan 'Stargate' nan 'Stargate'
 'Stargate' nan nan nan nan 'Aptos Bridge' 'Testnet Bridge']",167.82,11.99,4,4,10,599.98,"[436.32, 22.74, 21.99, 0, 92.82]",2
20418986,0xb043d1086016fba492221e7855ecd2dc674867a0,1.0564,Tether : Binance,14,"[nan 'Testnet Bridge' 'Stargate' 'Aptos Bridge' nan 'Aptos Bridge' nan
 'Stargate' nan 'Stargate' nan nan 'Aptos Bridge' nan]",182.6,13.04,4,4,10,592.47,"[434.24, 25.19, 21.94, 0, 87.1]",2
20418970,0xd33f1d8647d33e6ea9d3a56270d09900be31cbcf,1.0548,Tether : Binance,14,"[nan 'Aptos Bridge' 'Stargate' 'Aptos Bridge' nan nan nan 'Aptos Bridge'
 nan 'Stargate' 'Testnet Bridge' nan nan 'Stargate']",187.55,13.4,4,4,10,587.19,"[435.37, 23.39, 21.97, 0, 82.48]",2
20418970,0xb6896d1022f1930ed7731ca794ac1280159fa0f3,1.0549,Tether : Binance,15,"[nan nan 'Aptos Bridge' 'Stargate' nan nan nan nan nan nan 'Aptos Bridge'
 'Aptos Bridge' 'Stargate' 'Stargate' 'Testnet Bridge']",204,13.6,4,4,10,588.99,"[435.29, 23.81, 21.8, 0, 81.49]",2
20418963,0xe701ed5c5250fadc6277ec9d74d077e7aa881ad2,1.0541,Tether : Binance,14,"[nan nan 'Aptos Bridge' nan 'Aptos Bridge' nan 'Testnet Bridge' nan
 'Aptos Bridge' 'Stargate' nan nan 'Stargate' 'Stargate']",159.32,11.38,4,4,9,594.2,"[437.0, 22.95, 22.02, 0, 88.84]",2
20418648,0xad47aca887f3516da2c301aa59e698e4b8eaa6f2,1.0574,Tether : Binance,13,"[nan 'Stargate' nan nan nan nan 'Testnet Bridge' 'Stargate' nan 'Stargate'
 'Aptos Bridge' 'Aptos Bridge' 'Aptos Bridge']",168.51,12.96,4,4,10,582.26,"[443.86, 25.06, 22.07, 0, 69.25]",2
20418641,0x83108a736de21c512c84b32d3fb53fb7591e5397,1.057,Tether : Binance,13,"[nan nan 'Aptos Bridge' nan nan nan nan 'Stargate' 'Stargate' 'Stargate'
 'Testnet Bridge' 'Aptos Bridge' 'Aptos Bridge']",194.28,14.94,4,4,10,586.21,"[445.4, 23.9, 21.92, 0, 71.2]",2
20418634,0x375201f5055cdadf2f402e72b93bb5288b5572c3,1.0562,Tether : Binance,13,"['Stargate' 'Aptos Bridge' nan nan 'Testnet Bridge' nan 'Stargate' nan
 'Aptos Bridge' nan nan 'Aptos Bridge' 'Stargate']",187.23,14.4,4,4,10,586.86,"[443.04, 23.6, 22.02, 0, 71.71]",2
20418630,0x61e3f9a83335c4ccb7147af017d1e832b2a69949,1.0557,Tether : Binance,13,"[nan nan nan 'Testnet Bridge' nan 'Stargate' 'Aptos Bridge' 'Aptos Bridge'
 nan 'Stargate' 'Stargate' 'Aptos Bridge' nan]",155.3,11.95,4,4,10,589.57,"[444.45, 25.18, 21.97, 0, 73.66]",2
20418621,0x39118201825ad53cd317c02fdb8eb5e47a6fd1a0,1.0544,Tether : Binance,13,"[nan 'Stargate' 'Testnet Bridge' nan 'Stargate' nan 'Aptos Bridge' nan
 'Stargate' nan 'Aptos Bridge' 'Aptos Bridge' nan]",196.95,15.15,4,4,10,580.34,"[442.05, 23.0, 22.09, 0, 68.81]",2
20418616,0xfb04636934e601b974556a4886820f3ef025d4a9,1.0536,Tether : Binance,13,"['Stargate' 'Testnet Bridge' 'Stargate' 'Aptos Bridge' nan 'Aptos Bridge'
 nan 'Aptos Bridge' nan nan 'Stargate' nan nan]",178.37,13.72,4,4,10,598.65,"[441.56, 24.5, 21.97, 0, 85.96]",2
20418613,0x313b7102ba44070a8527cb5cce201d05646a4591,1.0534,Tether : Binance,13,"[nan 'Stargate' nan 'Aptos Bridge' nan 'Testnet Bridge' 'Aptos Bridge'
 'Aptos Bridge' nan nan nan 'Stargate' 'Stargate']",159.36,12.26,4,4,9,602.8,"[448.46, 25.17, 21.98, 0, 82.31]",2
20418609,0x8fc6b64a4e4d32a94f2319d5adba1618904d1a76,1.0529,Tether : Binance,14,"['Aptos Bridge' nan 'Aptos Bridge' 'Aptos Bridge' nan nan nan nan
 'Stargate' 'Stargate' 'Stargate' 'Testnet Bridge' 'Aptos Bridge' nan]",159,11.36,4,4,10,608.04,"[445.27, 23.86, 22.04, 0, 94.6]",2
20418590,0x84a214a473c6dc9b0855f2e06f0e2531f8a6b8a9,1.0508,Tether : Binance,14,"['Testnet Bridge' nan 'Stargate' 'Aptos Bridge' nan 'Stargate' nan nan nan
 nan nan 'Stargate' 'Aptos Bridge' 'Aptos Bridge']",176.61,12.62,4,4,10,593.82,"[443.5, 24.68, 22.05, 0, 80.72]",2
20418585,0x3b1a6a20e4ea8e9ef659add3c9c198b87db295a0,1.0501,Tether : Binance,14,"[nan nan 'Aptos Bridge' 'Stargate' nan nan nan nan 'Aptos Bridge'
 'Testnet Bridge' nan 'Aptos Bridge' 'Stargate' 'Stargate']",171.45,12.25,4,4,10,599.22,"[445.66, 25.43, 22.1, 0, 81.07]",2
20418578,0x0718c22c0b7a0b397e8959ae3e90d06c1a767a14,1.0494,Tether : Binance,14,"[nan nan nan 'Stargate' 'Stargate' nan nan 'Aptos Bridge' nan 'Stargate'
 'Aptos Bridge' 'Testnet Bridge' nan 'Aptos Bridge']",181.24,12.95,4,4,10,574.65,"[428.52, 22.6, 22.0, 0, 76.31]",2
20418468,0x972289357dcb3519c986aabfb7d55fabd4f480e6,1.0566,Tether : Binance,14,"['Aptos Bridge' nan nan 'Aptos Bridge' 'Stargate' nan 'Testnet Bridge'
 'Stargate' 'Aptos Bridge' nan 'Stargate' nan nan nan]",176.82,12.63,4,4,10,563.74,"[432.9, 23.22, 22.01, 0, 61.69]",2
20418463,0x942861e364bbc6d79149be238dd0137e4da35e46,1.0562,Tether : Binance,15,"['Stargate' 'Aptos Bridge' 'Aptos Bridge' 'Testnet Bridge' nan nan nan
 'Aptos Bridge' nan 'Stargate' nan 'Stargate' nan nan nan]",190.05,12.67,4,4,9,567.4,"[434.97, 24.56, 22.06, 0, 62.24]",2
20418452,0xcb675cee0e3a9fb0845df3bc28b6a499452d5aa4,1.0549,Tether : Binance,14,"['Stargate' nan 'Stargate' nan 'Aptos Bridge' nan 'Testnet Bridge' nan nan
 nan 'Stargate' nan 'Aptos Bridge' 'Aptos Bridge']",164.65,11.76,4,4,10,570.23,"[434.82, 23.75, 21.9, 0, 68.75]",2
20418447,0x565ef460392c10a9b84f6e76e7841bcc4e64ca1c,1.0533,Tether : Binance,14,"[nan 'Aptos Bridge' nan 'Stargate' nan nan 'Stargate' nan nan 'Stargate'
 'Aptos Bridge' nan 'Aptos Bridge' 'Testnet Bridge']",185.58,13.26,4,4,10,544.8,"[410.54, 24.53, 21.95, 0, 64.98]",2
20418437,0x39b80b14e1ac6e0f3ec17d2a936303fa88f3ad71,1.053,Tether : Binance,14,"[nan nan 'Aptos Bridge' 'Testnet Bridge' 'Stargate' nan nan nan nan
 'Stargate' 'Aptos Bridge' 'Stargate' nan 'Aptos Bridge']",172.55,12.32,4,4,10,569.56,"[434.36, 24.47, 21.9, 0, 63.52]",2
20418430,0x8a53eb8988b91a2f3393aab6d7177da3f012b487,1.0523,Tether : Binance,14,"['Aptos Bridge' 'Testnet Bridge' nan nan 'Aptos Bridge' 'Aptos Bridge' nan
 'Stargate' 'Stargate' nan 'Stargate' nan nan nan]",201.79,14.41,4,4,10,569.98,"[433.39, 22.03, 21.99, 0, 66.6]",2
20418427,0x2ef83dac668096aa98c402c1e169f4be5c30795c,1.0522,Tether : Binance,14,"[nan 'Stargate' nan 'Aptos Bridge' 'Aptos Bridge' nan 'Aptos Bridge' nan
 nan nan 'Stargate' nan 'Testnet Bridge' 'Stargate']",166.72,11.91,4,4,10,547.93,"[411.21, 24.14, 21.98, 0, 65.04]",2
20418259,0xf6145f41e9c1952ce58f3d74d2c9f5f498c977c4,1.0531,Tether : Binance,13,"['Testnet Bridge' 'Aptos Bridge' nan 'Stargate' nan 'Stargate' nan nan nan
 'Aptos Bridge' nan 'Stargate' 'Testnet Bridge']",178.55,13.73,4,4,10,574.21,"[444.87, 23.5, 21.97, 0, 63.45]",2
20418245,0x3b4355e6464e6d5c71199e0e1c444d7b2e06d3fa,1.0513,Tether : Binance,13,"[nan nan nan nan 'Stargate' 'Aptos Bridge' 'Stargate' 'Testnet Bridge'
 'Stargate' nan nan 'Testnet Bridge' 'Aptos Bridge']",175.41,13.49,4,4,10,564.19,"[417.42, 24.67, 22.04, 0, 76.97]",2
20418240,0xd0ab92dbc84c087de8d3195f84eae314056ccbbf,1.0507,Tether : Binance,13,"[nan 'Stargate' 'Testnet Bridge' nan 'Aptos Bridge' nan 'Stargate'
 'Stargate' nan nan 'Testnet Bridge' 'Aptos Bridge' nan]",184.62,14.2,4,4,9,556.77,"[418.89, 24.14, 21.98, 0, 70.33]",2
20418237,0x6809911e06d8e35a10d881bf6ec83816fdb63171,1.0503,Tether : Binance,13,"[nan nan nan 'Testnet Bridge' 'Stargate' nan 'Stargate' 'Testnet Bridge'
 nan 'Aptos Bridge' nan 'Aptos Bridge' 'Stargate']",168.3,12.95,4,4,9,575.78,"[431.21, 23.67, 22.12, 0, 72.71]",2
20418235,0xd431aab595b519e58e562ed77cb3a53a26691b61,1.0502,Tether : Binance,13,"[nan nan 'Testnet Bridge' 'Testnet Bridge' nan 'Stargate' 'Aptos Bridge'
 nan 'Stargate' 'Aptos Bridge' 'Stargate' nan nan]",172.01,13.23,4,4,9,575.68,"[431.27, 23.28, 22.0, 0, 75.91]",2
20418226,0x999d1753516e1a2e13b7d0a55546e37f4cd96c2e,1.0492,Tether : Binance,13,"['Testnet Bridge' nan 'Aptos Bridge' nan 'Stargate' 'Stargate' nan
 'Stargate' 'Aptos Bridge' nan nan 'Testnet Bridge' nan]",195.72,15.06,4,4,10,577.95,"[435.07, 24.86, 21.9, 0, 72.89]",2
20419166,0x0d4b771e25aa007366135e66e38ba02151d0257b,1.0567,Tether : Binance,15,"['Aptos Bridge' 'Stargate' 'Testnet Bridge' nan 'Aptos Bridge' 'Stargate'
 nan nan 'Stargate' nan 'Stargate' nan nan 'Aptos Bridge' nan]",258.86,17.26,4,4,10,567.23,"[426.34, 24.13, 21.75, 0, 71.67]",2
20419158,0x1b1c3c4fdd099b3b3ec3711f17853cd2b78a314b,1.0554,Tether : Binance,15,"['Stargate' nan 'Stargate' nan nan 'Testnet Bridge' 'Aptos Bridge'
 'Aptos Bridge' nan nan 'Stargate' 'Aptos Bridge' nan 'Stargate' nan]",266,17.73,4,4,10,574.7,"[428.71, 24.41, 22.77, 0, 71.52]",2
20419155,0x76d9225882a48da436f007bae6c2c600fe54f5fa,1.0552,Tether : Binance,15,"['Stargate' 'Stargate' 'Testnet Bridge' nan 'Aptos Bridge' nan 'Stargate'
 nan nan 'Stargate' 'Aptos Bridge' nan nan nan 'Aptos Bridge']",273.29,18.22,4,4,10,566.5,"[423.83, 24.16, 21.91, 0, 74.1]",2
20419151,0x8535d42816bf755a3632a892cde9d25edb07708d,1.055,Tether : Binance,14,"[nan 'Aptos Bridge' nan nan nan 'Stargate' nan 'Aptos Bridge' 'Stargate'
 'Aptos Bridge' nan 'Stargate' nan 'Testnet Bridge']",194.68,13.91,4,4,10,575.47,"[427.32, 22.91, 21.81, 0, 75.94]",2
20419149,0xd1b6651c93787336fd15d2f360132b4aa0db9843,1.0546,Tether : Binance,14,"['Stargate' 'Stargate' nan nan nan nan nan 'Testnet Bridge' 'Aptos Bridge'
 nan 'Aptos Bridge' 'Aptos Bridge' 'Stargate' nan]",162.89,11.64,4,4,9,575.4,"[427.98, 23.24, 21.94, 0, 75.07]",2
20419143,0xe8dcac6d7fd437904de950da77f3b7a43181e6be,1.0538,Tether : Binance,14,"['Stargate' nan 'Aptos Bridge' 'Stargate' nan nan 'Aptos Bridge'
 'Testnet Bridge' nan nan nan 'Aptos Bridge' nan 'Stargate']",159.42,11.39,4,4,9,577.26,"[430.89, 24.3, 21.88, 0, 75.9]",2
20419137,0xdd9659270ae18651df40759bd01418d8dbc7651f,1.0529,Tether : Binance,14,"[nan 'Testnet Bridge' 'Aptos Bridge' 'Aptos Bridge' 'Stargate' 'Stargate'
 nan nan nan 'Stargate' nan nan 'Aptos Bridge' nan]",173.23,12.37,4,4,10,574.21,"[425.31, 23.41, 21.82, 0, 80.86]",2
20419016,0x05fbb041adaa161adffb6ca4877e9566750529db,1.0601,Tether : Binance,14,"['Stargate' 'Aptos Bridge' 'Aptos Bridge' nan nan 'Stargate' nan
 'Stargate' nan 'Aptos Bridge' nan nan 'Testnet Bridge' nan]",174.25,12.45,4,4,10,608.02,"[446.33, 22.9, 22.6, 0, 89.23]",2
20418917,0xf69cf72ecd1cd207a74d12785be3a4107cb4ad85,1.069,Tether : Binance,16,"['Testnet Bridge' 'Aptos Bridge' 'Aptos Bridge' 'Stargate' nan 'Omni X'
 nan 'Omni X' nan nan nan 'Stargate' 'Aptos Bridge' 'Stargate' nan nan]",171.76,10.74,5,5,11,568.18,"[429.47, 24.16, 22.09, 0, 66.2]",3
20418916,0x30e342adc3c35030938257fb626deb1cc1bbea8a,1.0688,Tether : Binance,16,"[nan nan 'Aptos Bridge' nan 'Stargate' 'Aptos Bridge' nan 'Aptos Bridge'
 nan 'Stargate' nan 'Omni X' 'Testnet Bridge' 'Stargate' nan 'Omni X']",165.81,10.36,5,5,11,570.42,"[431.93, 23.6, 22.07, 0, 69.56]",3
20418911,0x7342a171ff7fda51214ba93037c7440dafb33d40,1.0681,Tether : Binance,16,"[nan nan nan 'Stargate' nan 'Aptos Bridge' 'Stargate' 'Omni X'
 'Aptos Bridge' 'Stargate' 'Aptos Bridge' nan nan 'Omni X' nan
 'Testnet Bridge']",180.36,11.27,5,5,11,561.45,"[430.99, 23.0, 21.94, 0, 63.74]",3
20418909,0x6b3df9adc9de6bce991d97c42c2dc5f9859b03e1,1.0678,Tether : Binance,16,"['Omni X' 'Testnet Bridge' nan nan nan 'Aptos Bridge' 'Omni X' 'Stargate'
 nan 'Stargate' 'Aptos Bridge' nan 'Aptos Bridge' nan 'Stargate' nan]",160.69,10.04,5,5,11,574.52,"[432.28, 23.48, 21.92, 0, 71.34]",3
20418906,0xe0f375ec1198960cbeb6d6ab2619601431d3cac0,1.0676,Tether : Binance,16,"['Aptos Bridge' 'Omni X' 'Aptos Bridge' nan 'Aptos Bridge' nan
 'Testnet Bridge' 'Stargate' nan nan 'Stargate' 'Omni X' nan nan nan
 'Stargate']",197.17,12.32,5,5,11,572.29,"[430.89, 23.71, 22.06, 0, 69.53]",3
20418906,0xab6cd0a52305075cfd5149998bf4e67dab2992c9,1.0675,Tether : Binance,17,"[nan nan 'Omni X' nan 'Stargate' 'Stargate' nan 'Stargate' 'Aptos Bridge'
 nan nan 'Aptos Bridge' 'Omni X' nan 'Aptos Bridge' 'Testnet Bridge'
 'Stargate']",265.8,15.64,5,5,11,567.99,"[432.3, 23.06, 21.93, 0, 65.18]",3
20418901,0xa8a906a65e6d8ddc8586d216979e731bfb2afcf3,1.067,Tether : Binance,16,"['Aptos Bridge' nan 'Aptos Bridge' 'Aptos Bridge' 'Stargate' 'Stargate'
 nan nan 'Testnet Bridge' 'Stargate' nan 'Omni X' nan 'Omni X' nan nan]",172.7,10.79,5,5,11,569.05,"[432.85, 24.97, 21.97, 0, 65.75]",3
20418897,0x1825999572d2b604c7db9b00e49d709bf4e3f3c6,1.0663,Tether : Binance,16,"[nan nan 'Omni X' nan 'Aptos Bridge' nan nan 'Testnet Bridge' 'Omni X' nan
 'Aptos Bridge' 'Aptos Bridge' 'Stargate' 'Stargate' 'Stargate' nan]",202.71,12.67,5,5,11,545.18,"[409.78, 25.01, 22.02, 0, 65.68]",3
20418897,0x63d0c5a8921d3dfe352419a08a4a8b4d09bf988e,1.0666,Tether : Binance,16,"[nan 'Aptos Bridge' 'Aptos Bridge' nan 'Omni X' nan nan nan 'Stargate'
 'Testnet Bridge' 'Stargate' nan nan 'Aptos Bridge' 'Stargate' 'Omni X']",180.08,11.26,5,5,11,565.09,"[433.47, 23.5, 21.88, 0, 62.26]",3
20418885,0x9f75f62e4fc6a9d4c8a559c2eca3198921ef2732,1.065,Tether : Binance,16,"[nan nan 'Stargate' 'Aptos Bridge' 'Aptos Bridge' 'Stargate' nan nan
 'Aptos Bridge' 'Stargate' 'Omni X' 'Testnet Bridge' nan nan nan 'Omni X']",205.9,12.87,5,5,11,562.52,"[432.95, 22.81, 22.12, 0, 60.79]",3
20418882,0x0b708952ab6b6063ba04fe8e8f093b4688f95feb,1.0645,Tether : Binance,16,"[nan nan 'Stargate' 'Omni X' 'Aptos Bridge' 'Omni X' 'Stargate' nan
 'Aptos Bridge' 'Stargate' nan nan nan nan 'Testnet Bridge' 'Aptos Bridge']",198.8,12.42,5,5,11,569.84,"[432.29, 24.46, 21.9, 0, 66.78]",3
20418882,0x5ca47014fa6e766750a436327557a4a569db0e5e,1.0649,Tether : Binance,16,"['Aptos Bridge' nan nan nan 'Omni X' 'Stargate' 'Omni X' 'Aptos Bridge'
 'Aptos Bridge' 'Testnet Bridge' nan nan 'Stargate' nan 'Stargate' nan]",165.09,10.32,5,5,11,567.39,"[432.34, 22.57, 21.89, 0, 64.58]",3
20418877,0x43351800cf61b8f4ad8daf4810a78e74ae9b0319,1.0642,Tether : Binance,16,"['Omni X' 'Omni X' 'Stargate' 'Stargate' 'Aptos Bridge' 'Stargate'
 'Aptos Bridge' 'Aptos Bridge' nan nan nan nan nan nan 'Testnet Bridge'
 nan]",189.41,11.84,5,5,11,567.2,"[432.48, 22.87, 22.13, 0, 60.99]",3
20418875,0x022b0013b55949ac0ab32f7aab9b0991ae6563b5,1.064,Tether : Binance,16,"[nan 'Testnet Bridge' nan 'Omni X' 'Stargate' 'Stargate' 'Stargate'
 'Aptos Bridge' nan nan 'Aptos Bridge' nan nan nan 'Omni X' 'Aptos Bridge']",168.86,10.55,5,5,11,564.08,"[432.71, 24.56, 22.01, 0, 59.27]",3
20418872,0x5c5e18fb9e3305d6ebd97de803d228889c845116,1.0637,Tether : Binance,16,"[nan 'Aptos Bridge' nan 'Aptos Bridge' 'Stargate' nan nan 'Stargate'
 'Omni X' 'Aptos Bridge' nan 'Omni X' 'Stargate' nan nan 'Testnet Bridge']",168.03,10.5,5,5,11,542.74,"[410.65, 24.63, 21.99, 0, 58.6]",3
20418868,0x145767514b5d5c12db71e2396aa3b4b49ac3d54b,1.0631,Tether : Binance,16,"[nan 'Stargate' 'Stargate' 'Stargate' 'Omni X' 'Aptos Bridge' nan nan nan
 'Testnet Bridge' 'Omni X' nan nan 'Aptos Bridge' 'Aptos Bridge' nan]",172.05,10.75,5,5,11,566.42,"[432.13, 22.96, 22.06, 0, 65.74]",3
20418863,0x5ac8faa63f4fc4e12da8bb1a05063bef53daf7d3,1.0625,Tether : Binance,16,"['Testnet Bridge' 'Aptos Bridge' nan nan 'Omni X' 'Aptos Bridge'
 'Stargate' 'Aptos Bridge' 'Omni X' nan 'Stargate' nan nan 'Stargate' nan
 nan]",178.1,11.13,5,5,11,542.62,"[409.17, 24.12, 21.98, 0, 59.87]",3
20418863,0x18639185111512e11502fa3f671724ab655ca002,1.0626,Tether : Binance,16,"[nan 'Aptos Bridge' 'Stargate' 'Aptos Bridge' nan 'Omni X' 'Stargate'
 'Testnet Bridge' nan nan nan nan 'Stargate' 'Aptos Bridge' nan 'Omni X']",195.72,12.23,5,5,11,544.45,"[409.15, 24.32, 22.18, 0, 62.93]",3
20418856,0xb76a4327ae51621e2557dda897e0867e2b7f2765,1.0618,Tether : Binance,15,"[nan nan 'Aptos Bridge' nan nan 'Aptos Bridge' 'Stargate' 'Aptos Bridge'
 'Stargate' 'Testnet Bridge' 'Stargate' nan 'Omni X' 'Omni X' nan]",161.23,10.75,5,5,11,566.25,"[435.55, 22.41, 22.01, 0, 60.59]",3
20418854,0x6906659542a94847d664d6607a8f09d6753c9ea3,1.0615,Tether : Binance,15,"['Stargate' nan nan nan 'Aptos Bridge' 'Omni X' nan 'Stargate' nan
 'Omni X' nan 'Aptos Bridge' 'Stargate' 'Testnet Bridge' 'Aptos Bridge']",166.03,11.07,5,5,11,559,"[430.96, 22.72, 22.0, 0, 61.96]",3
20418849,0x15af5347910821284a1e67497e551adf5eb98e34,1.0608,Tether : Binance,16,"['Stargate' 'Aptos Bridge' nan 'Omni X' 'Aptos Bridge' nan 'Omni X'
 'Stargate' 'Stargate' 'Stargate' nan 'Aptos Bridge' nan nan nan
 'Testnet Bridge']",201.81,12.61,5,5,11,547.56,"[408.44, 25.52, 22.0, 0, 64.94]",3
20418846,0xfbda0baa70c5bc307190d5b85c852d86e0721034,1.0606,Tether : Binance,15,"[nan 'Aptos Bridge' 'Aptos Bridge' 'Stargate' nan 'Aptos Bridge' nan
 'Omni X' nan 'Omni X' nan nan 'Stargate' 'Testnet Bridge' 'Stargate']",178.65,11.91,5,5,11,541.68,"[406.77, 25.52, 21.9, 0, 62.31]",3
20418832,0x591a46517dc29db63724ddb60b789917d2acdfe0,1.0591,Tether : Binance,19,"['Stargate' nan 'Omni X' 'Aptos Bridge' nan nan 'Omni X' 'Stargate' nan
 nan nan 'Aptos Bridge' nan nan 'Stargate' nan 'Aptos Bridge'
 'Testnet Bridge' 'Omni X']",187.84,9.89,5,5,13,556.94,"[432.34, 23.7, 22.04, 0, 59.52]",3
20418511,0xb806c548f0ba53655eba741620eaae34f345eb2b,1.0614,Tether : Binance,17,"[nan nan nan 'Stargate' nan nan 'Aptos Bridge' nan 'Stargate'
 'Aptos Bridge' 'Stargate' 'Aptos Bridge' 'Testnet Bridge' 'Omni X'
 'Stargate' nan 'Omni X']",257.89,15.17,5,5,11,587.21,"[435.23, 23.5, 22.0, 0, 86.64]",3
20418028,0xfd84703c0a824d61875f2c51f2f484f0cf371f11,1.0687,Tether : Binance,16,"[nan 'Stargate' 'Testnet Bridge' nan nan 'Aptos Bridge' 'Stargate'
 'Aptos Bridge' nan nan nan 'Omni X' nan 'Stargate' 'Testnet Bridge'
 'Omni X']",184.3,11.52,5,5,11,559.98,"[431.79, 23.28, 22.0, 0, 60.1]",3
20418022,0x6f457e50843b519906efe76985044ba1cc8e6dac,1.0686,Tether : Binance,16,"[nan nan 'Aptos Bridge' 'Stargate' 'Testnet Bridge' 'Stargate' nan
 'Omni X' nan 'Aptos Bridge' nan 'Omni X' 'Stargate' nan 'Testnet Bridge'
 nan]",178.25,11.14,5,5,11,562.02,"[431.85, 22.62, 21.86, 0, 65.55]",3
20418022,0x97f9bc071a7548ebbd487440112fc316b3f5539f,1.0684,Tether : Binance,16,"[nan nan nan nan nan 'Aptos Bridge' 'Stargate' 'Stargate' 'Testnet Bridge'
 nan 'Omni X' 'Stargate' 'Testnet Bridge' 'Aptos Bridge' 'Omni X' nan]",181.21,11.33,5,5,11,569.7,"[429.78, 24.67, 21.88, 0, 72.03]",3
20418015,0x60309a209b2111953ce173e3843c3c407778965c,1.0676,Tether : Binance,16,"['Testnet Bridge' nan nan 'Aptos Bridge' 'Testnet Bridge' 'Omni X'
 'Omni X' 'Stargate' 'Aptos Bridge' nan nan 'Stargate' 'Stargate' nan nan
 nan]",199.48,12.47,5,5,11,566.58,"[430.66, 23.39, 21.82, 0, 66.73]",3
20418003,0x599fbf10b322e0d0bd554bf3e80bd635c406e183,1.0663,Tether : Binance,16,"[nan 'Omni X' nan nan 'Omni X' 'Stargate' nan 'Aptos Bridge' 'Stargate'
 'Stargate' nan nan 'Testnet Bridge' 'Testnet Bridge' nan 'Aptos Bridge']",198.4,12.4,5,5,11,562.28,"[431.76, 24.39, 21.86, 0, 63.61]",3
20417999,0x55dc16763476dc2130b99f111feacffb8bd0a71e,1.0656,Tether : Binance,16,"['Stargate' nan 'Omni X' 'Aptos Bridge' nan 'Omni X' 'Aptos Bridge'
 'Stargate' nan nan 'Testnet Bridge' nan nan 'Stargate' nan
 'Testnet Bridge']",203.77,12.74,5,5,11,560.3,"[430.94, 22.85, 21.86, 0, 63.69]",3
20417991,0x1e1f107bccb6a2ed2df0b8dedfa7a45922537a6c,1.0645,Tether : Binance,16,"['Aptos Bridge' 'Testnet Bridge' 'Stargate' 'Aptos Bridge' 'Stargate' nan
 'Omni X' nan nan nan nan 'Stargate' 'Omni X' nan nan 'Testnet Bridge']",196.18,12.26,5,5,11,564.9,"[429.87, 22.51, 21.8, 0, 66.11]",3
20417983,0xccaeb8e57ce791b0bd998a9c72f864d6b5db7081,1.0639,Tether : Binance,16,"[nan 'Stargate' 'Omni X' 'Stargate' nan 'Omni X' nan 'Testnet Bridge'
 'Aptos Bridge' nan 'Stargate' nan 'Aptos Bridge' nan 'Testnet Bridge' nan]",159.08,9.94,5,5,11,560.95,"[429.08, 22.35, 21.67, 0, 67.3]",3
20417971,0x1f9e61d43221cfb9452ddc4b3a02e55185a55722,1.0625,Tether : Binance,16,"['Stargate' nan nan 'Stargate' 'Testnet Bridge' nan 'Stargate' nan nan
 'Omni X' nan 'Aptos Bridge' 'Testnet Bridge' 'Aptos Bridge' 'Omni X' nan]",173.95,10.87,5,5,11,583.89,"[455.11, 22.68, 21.84, 0, 60.16]",3
